|soc_code|soc_title|soc_direct_match_title|illustrative_example
980|19-1042|Medical Scientists, Except Epidemiologists|Pharmacologist|
981|19-1042|Medical Scientists, Except Epidemiologists|Serologist|
982|19-1042|Medical Scientists, Except Epidemiologists|Toxicologist|x
983|19-1099|Life Scientists, All Other|Life Science Taxonomist|x
984|19-2011|Astronomers|Astrophysicist|x
985|19-2011|Astronomers|Cosmologist|x
986|19-2011|Astronomers|Extragalactic Astronomer|
987|19-2011|Astronomers|Galactic Astronomer|
988|19-2011|Astronomers|High-energy Astrophysicist|
989|19-2011|Astronomers|Optical Astronomer|
990|19-2011|Astronomers|Planetary Astronomer|
991|19-2011|Astronomers|Radio Astronomer|
992|19-2011|Astronomers|Solar Astronomer|
993|19-2011|Astronomers|Stellar Astronomer|
994|19-2011|Astronomers|Theoretical Astronomer|
995|19-2012|Physicists|Computational Physicist|
996|19-2012|Physicists|Condensed Matter Physicist|
997|19-2012|Physicists|Fluid Dynamicist|x
998|19-2012|Physicists|Health Physicist|
999|19-2012|Physicists|Mathematical Physicist|
1000|19-2012|Physicists|Medical Physicist|
1001|19-2012|Physicists|Molecular Physicist|x
1002|19-2012|Physicists|Nuclear Physicist|
1003|19-2012|Physicists|Optical Scientist|x
1004|19-2012|Physicists|Plasma Physicist|
1005|19-2012|Physicists|Research Physicist|
1006|19-2012|Physicists|Rheologist|x
1007|19-2012|Physicists|Thermodynamic Physicist|
1008|19-2012|Physicists|Thermodynamicist|
1009|19-2021|Atmospheric and Space Scientists|Atmospheric Chemist|x
1010|19-2021|Atmospheric and Space Scientists|Atmospheric Scientist|
1011|19-2021|Atmospheric and Space Scientists|Climatologist|x
1012|19-2021|Atmospheric and Space Scientists|Hurricane Tracker|x
1013|19-2021|Atmospheric and Space Scientists|Meteorologist|x
1014|19-2021|Atmospheric and Space Scientists|Oceanographic Meteorologist|
1015|19-2021|Atmospheric and Space Scientists|Space Scientist|
1016|19-2021|Atmospheric and Space Scientists|Storm Chaser|
1017|19-2021|Atmospheric and Space Scientists|Tornado Chaser|
1018|19-2021|Atmospheric and Space Scientists|Warning Coordination Meteorologist|
1019|19-2021|Atmospheric and Space Scientists|Weather Analyst|
1020|19-2021|Atmospheric and Space Scientists|Weather Forecaster|
1021|19-2021|Atmospheric and Space Scientists|Weatherman|
1022|19-2031|Chemists|Agricultural Chemist|
1023|19-2031|Chemists|Analytical Chemist|
1024|19-2031|Chemists|Bench Chemist|
1025|19-2031|Chemists|Food Chemist|x
1026|19-2031|Chemists|Formulary Chemist|
1027|19-2031|Chemists|Industrial Chemist|x
1028|19-2031|Chemists|Inorganic Chemist|x
1029|19-2031|Chemists|Laboratory Chemist|
1030|19-2031|Chemists|Nuclear Chemist|
1031|19-2031|Chemists|Organic Chemist|
1032|19-2031|Chemists|Quality Control Chemist|
1033|19-2031|Chemists|Research and Development Chemist|x
1034|19-2032|Materials Scientists|Metal Alloy Scientist|x
1035|19-2032|Materials Scientists|Plastics Scientist|x
1036|19-2041|Environmental Scientists and Specialists, Including Health|Ecological Modeler|
1037|19-2041|Environmental Scientists and Specialists, Including Health|Environmental Analyst|
1038|19-2041|Environmental Scientists and Specialists, Including Health|Environmental Scientist|
1039|19-2041|Environmental Scientists and Specialists, Including Health|Hazardous Substances Scientist|x
1040|19-2041|Environmental Scientists and Specialists, Including Health|Health Environmentalist|x
1041|19-2041|Environmental Scientists and Specialists, Including Health|Water Pollution Scientist|x
1042|19-2041|Environmental Scientists and Specialists, Including Health|Water Quality Analyst|
1043|19-2042|Geoscientists, Except Hydrologists and Geographers|Crystallographer|
1044|19-2042|Geoscientists, Except Hydrologists and Geographers|Development Geologist|
1045|19-2042|Geoscientists, Except Hydrologists and Geographers|Environmental Geologist|
1046|19-2042|Geoscientists, Except Hydrologists and Geographers|Exploration Geologist|
1047|19-2042|Geoscientists, Except Hydrologists and Geographers|Geochemist|x
1048|19-2042|Geoscientists, Except Hydrologists and Geographers|Geodesist|
1049|19-2042|Geoscientists, Except Hydrologists and Geographers|Geologist|
1050|19-2042|Geoscientists, Except Hydrologists and Geographers|Geomagnetist|
1051|19-2042|Geoscientists, Except Hydrologists and Geographers|Geophysicist|
1052|19-2042|Geoscientists, Except Hydrologists and Geographers|Geoscientist|
1053|19-2042|Geoscientists, Except Hydrologists and Geographers|Mine Geologist|
1054|19-2042|Geoscientists, Except Hydrologists and Geographers|Mineralogist|
1055|19-2042|Geoscientists, Except Hydrologists and Geographers|Mining Production Geologist|
1056|19-2042|Geoscientists, Except Hydrologists and Geographers|Oceanographer|x
1057|19-2042|Geoscientists, Except Hydrologists and Geographers|Oceanologist|
1058|19-2042|Geoscientists, Except Hydrologists and Geographers|Paleontologist|
1059|19-2042|Geoscientists, Except Hydrologists and Geographers|Petroleum Geologist|
1060|19-2042|Geoscientists, Except Hydrologists and Geographers|Petrologist|x
1061|19-2042|Geoscientists, Except Hydrologists and Geographers|Research Geologist|
1062|19-2042|Geoscientists, Except Hydrologists and Geographers|Sedimentationist|
1063|19-2042|Geoscientists, Except Hydrologists and Geographers|Seismologist|
1064|19-2042|Geoscientists, Except Hydrologists and Geographers|Stratigrapher|
1065|19-2042|Geoscientists, Except Hydrologists and Geographers|Volcanologist|x
1066|19-2043|Hydrologists|Hydrogeologist|x
1067|19-2043|Hydrologists|Isotope Hydrologist|x
1068|19-2043|Hydrologists|Surface Hydrologist|x
1069|19-3011|Economists|Agricultural Economist|
1070|19-3011|Economists|Econometrician|x
1071|19-3011|Economists|Economic Development Specialist|
1072|19-3011|Economists|Economic Research Analyst|x
1073|19-3011|Economists|Environmental Economist|x
1074|19-3011|Economists|Industrial Economist|x
1075|19-3011|Economists|Labor Economist|
1076|19-3011|Economists|Price Economist|
1077|19-3011|Economists|Social Economist|
1078|19-3011|Economists|Tax Economist|
1079|19-3011|Economists|Trade Economist|
1080|19-3022|Survey Researchers|Pollster|x
1081|19-3022|Survey Researchers|Survey Methodologist|x
1082|19-3022|Survey Researchers|Survey Questionnaire Designer|x
1083|19-3032|Industrial-Organizational Psychologists|Engineering Psychologist|x
1084|19-3032|Industrial-Organizational Psychologists|Human Resources Psychologist|x
1085|19-3032|Industrial-Organizational Psychologists|I/O Psychologist|
1086|19-3032|Industrial-Organizational Psychologists|Industrial Psychologist|
1087|19-3032|Industrial-Organizational Psychologists|Management Psychologist|x
1088|19-3032|Industrial-Organizational Psychologists|Organizational Psychologist|
1089|19-3032|Industrial-Organizational Psychologists|Organizational Research Consultant|
1090|19-3032|Industrial-Organizational Psychologists|Personnel Research Psychologist|
1091|19-3033|Clinical and Counseling Psychologists|Eating Disorder Psychologists|x
1092|19-3033|Clinical and Counseling Psychologists|Geropsychologists|x
1093|19-3034|School Psychologists|Educational Psychologists|x
1094|19-3039|Psychologists, All Other|Developmental Psychologist|
1095|19-3039|Psychologists, All Other|Experimental Psychologist|
1096|19-3039|Psychologists, All Other|Forensic Psychologist|x
1097|19-3039|Psychologists, All Other|Neuropsychologist|
1098|19-3039|Psychologists, All Other|Psychotherapist|
1099|19-3039|Psychologists, All Other|Rehabilitation Psychologist|
1100|19-3039|Psychologists, All Other|Social Psychologist|x
1101|19-3039|Psychologists, All Other|Sports Psychologist|x
1102|19-3041|Sociologists|Criminologist|x
1103|19-3041|Sociologists|Family Sociologist|x
1104|19-3041|Sociologists|Penologist|
1105|19-3041|Sociologists|Rural Sociologist|x
1106|19-3041|Sociologists|Urban Sociologist|
1107|19-3051|Urban and Regional Planners|City Planner|x
1108|19-3051|Urban and Regional Planners|Community Development Planner|x
1109|19-3051|Urban and Regional Planners|Regional Planner|
1110|19-3051|Urban and Regional Planners|Urban Planner|
1111|19-3091|Anthropologists and Archeologists|Anthropologist|
1112|19-3091|Anthropologists and Archeologists|Applied Anthropologist|
1113|19-3091|Anthropologists and Archeologists|Archaeologist|
1114|19-3091|Anthropologists and Archeologists|Ethnoarchaeologist|x
1115|19-3091|Anthropologists and Archeologists|Medical Anthropologist|
1116|19-3091|Anthropologists and Archeologists|Physical Anthropologist|
1117|19-3091|Anthropologists and Archeologists|Political Anthropologist|x
1118|19-3091|Anthropologists and Archeologists|Research Anthropologist|
1119|19-3091|Anthropologists and Archeologists|Research Archaeologist|x
1120|19-3092|Geographers|Biogeographer|
1121|19-3092|Geographers|Economic Geographer|x
1122|19-3092|Geographers|Geomorphologist|x
1123|19-3092|Geographers|GIS Geographer|x
1124|19-3092|Geographers|Glaciologist|
1125|19-3092|Geographers|Physical Geographer|
1126|19-3092|Geographers|Political Geographer|x
1127|19-3093|Historians|Genealogist|x
1128|19-3093|Historians|Historiographer|x
1129|19-3093|Historians|Protohistorian|x
1130|19-3094|Political Scientists|Government Affairs Researcher|
1131|19-3094|Political Scientists|Government Affairs Specialist|x
1132|19-3094|Political Scientists|Local Governance and Citizen Participation Specialist|
1133|19-3094|Political Scientists|Political Consultant|x
1134|19-3094|Political Scientists|Political Research Scientist|x
1135|19-3094|Political Scientists|Political Researcher|
1136|19-3099|Social Scientists and Related Workers, All Other|Behavioral Scientist|
1137|19-3099|Social Scientists and Related Workers, All Other|Demographer|x
1138|19-3099|Social Scientists and Related Workers, All Other|Ethnologist|x
1139|19-3099|Social Scientists and Related Workers, All Other|Etymologist|
1140|19-3099|Social Scientists and Related Workers, All Other|Linguist|x
1141|19-3099|Social Scientists and Related Workers, All Other|Philologist|
1142|19-3099|Social Scientists and Related Workers, All Other|Social Scientist|
1143|19-4012|Agricultural Technicians|Agronomy Technician|
1144|19-4012|Agricultural Technicians|Artificial Breeding Technician|
1145|19-4012|Agricultural Technicians|Cotton Program Technician|
1146|19-4012|Agricultural Technicians|Feed Mill Lab Technician|
1147|19-4012|Agricultural Technicians|Feed Research Technician|x
1148|19-4012|Agricultural Technicians|Feed Research Technician|x
1149|19-4012|Agricultural Technicians|Seed Analyst|x
1150|19-4012|Agricultural Technicians|Sugarcane Research Technician|
1151|19-4012|Agricultural Technicians|Weed Science Research Technician|
1152|19-4013|Food Science Technicians|Flavor Technician|x
1153|19-4013|Food Science Technicians|Food Quality Control Technician|x
1154|19-4013|Food Science Technicians|Food Quality Technician|x
1155|19-4021|Biological Technicians|Bacteriology Technician|x
1156|19-4021|Biological Technicians|Biochemistry Technician|
1157|19-4021|Biological Technicians|Biology Laboratory Assistant|
1158|19-4021|Biological Technicians|Marine Fisheries Technician|x
1159|19-4021|Biological Technicians|Microbiology Technician|
1160|19-4021|Biological Technicians|Wildlife Technician|x
1161|19-4031|Chemical Technicians|Assayer|x
1162|19-4031|Chemical Technicians|Chemical Laboratory Technician|x
1163|19-4031|Chemical Technicians|Inorganic Chemical Technician|x
1164|19-4042|Environmental Science and Protection Technicians, Including Health|Air Quality Technician|
1165|19-4042|Environmental Science and Protection Technicians, Including Health|Certified Indoor Environmentalist|x
1166|19-4042|Environmental Science and Protection Technicians, Including Health|Environmental Science Technician|x
1167|19-4042|Environmental Science and Protection Technicians, Including Health|Infectious Waste Technician|x
1168|19-4042|Environmental Science and Protection Technicians, Including Health|Pollution Control Technician|x
1169|19-4042|Environmental Science and Protection Technicians, Including Health|Public Health Sanitarian Technician|
1170|19-4042|Environmental Science and Protection Technicians, Including Health|Radon Inspector|
1171|19-4043|Geological Technicians, Except Hydrologic Technicians|Crude Tester|x
1172|19-4043|Geological Technicians, Except Hydrologic Technicians|Geological Sample Tester|
1173|19-4043|Geological Technicians, Except Hydrologic Technicians|Geophysical Prospector|x
1174|19-4043|Geological Technicians, Except Hydrologic Technicians|Magnetometer Operator|
1175|19-4043|Geological Technicians, Except Hydrologic Technicians|Mineral Technologist|
1176|19-4043|Geological Technicians, Except Hydrologic Technicians|Mining Technician|
1177|19-4043|Geological Technicians, Except Hydrologic Technicians|Mud Logger|
1178|19-4043|Geological Technicians, Except Hydrologic Technicians|Petroleum Technician|
1179|19-4043|Geological Technicians, Except Hydrologic Technicians|Seismic Interpreter|
1180|19-4043|Geological Technicians, Except Hydrologic Technicians|Seismic Observer|x
1181|19-4043|Geological Technicians, Except Hydrologic Technicians|Seismograph Operator|
1182|19-4044|Hydrologic Technicians|Groundwater Monitoring Technician|x
1183|19-4051|Nuclear Technicians|Nuclear Monitoring Technician|x
1184|19-4051|Nuclear Technicians|Radiation Protection Technician|
1185|19-4051|Nuclear Technicians|Radiochemical Technician|x
1186|19-4061|Social Science Research Assistants|City Planning Aide|x
1187|19-4061|Social Science Research Assistants|Economic Research Assistant|x
1188|19-4061|Social Science Research Assistants|Economist Research Assistant|
1189|19-4061|Social Science Research Assistants|Historian Research Assistant|x
1190|19-4061|Social Science Research Assistants|Political Science Research Assistant|
1191|19-4061|Social Science Research Assistants|Psychologist Research Assistant|
1192|19-4061|Social Science Research Assistants|Sociology Research Assistant|
1193|19-4071|Forest and Conservation Technicians|Forest Technician|
1194|19-4071|Forest and Conservation Technicians|Forestry Aide|x
1195|19-4071|Forest and Conservation Technicians|Forestry Technician|
1196|19-4071|Forest and Conservation Technicians|Natural Resources Technician|
1197|19-4071|Forest and Conservation Technicians|Soil Conservation Technician|x
1198|19-4071|Forest and Conservation Technicians|Timber Management Technician|x
1199|19-4092|Forensic Science Technicians|Ballistic Technician|
1200|19-4092|Forensic Science Technicians|Ballistician|
1201|19-4092|Forensic Science Technicians|Ballistics Expert|x
1202|19-4092|Forensic Science Technicians|Crime Lab Technician|
1203|19-4092|Forensic Science Technicians|Crime Scene Technician|x
1204|19-4092|Forensic Science Technicians|Criminalist Technician|
1205|19-4092|Forensic Science Technicians|Fingerprint Expert|
1206|19-4092|Forensic Science Technicians|Forensic Analyst|
1207|19-4092|Forensic Science Technicians|Handwriting Expert|
1208|19-4092|Forensic Science Technicians|Trace Evidence Technician|x
1209|19-4092|Forensic Science Technicians|Wildlife Forensic Geneticist|
1210|19-4099|Life, Physical, and Social Science Technicians, All Other|Meteorological Aide|x
1211|19-4099|Life, Physical, and Social Science Technicians, All Other|Polygraph Examiner|x
1212|19-5011|Occupational Health and Safety Specialists|Certified Industrial Hygienist|
1213|19-5011|Occupational Health and Safety Specialists|Certified Professional Ergonomist|
1214|19-5011|Occupational Health and Safety Specialists|Environmental Health Sanitarian|x
1215|19-5011|Occupational Health and Safety Specialists|Health and Safety Inspector|x
1216|19-5011|Occupational Health and Safety Specialists|Industrial Hygienist|x
1217|19-5011|Occupational Health and Safety Specialists|Industrial Safety and Health Specialist|
1218|19-5011|Occupational Health and Safety Specialists|Occupational Safety and Health Inspector|
1219|19-5011|Occupational Health and Safety Specialists|Radiological Health Specialist|
1220|19-5012|Occupational Health and Safety Technicians|CHST|
1221|19-5012|Occupational Health and Safety Technicians|Construction Health and Safety Technician|x
1222|19-5012|Occupational Health and Safety Technicians|Environmental Health Technologist|
1223|19-5012|Occupational Health and Safety Technicians|Ergonomics Technician|x
1224|19-5012|Occupational Health and Safety Technicians|Occupational Health and Safety Technologist|
1225|19-5012|Occupational Health and Safety Technicians|Occupational Health and Safety Technologist (OHST)|x
1226|21-1011|Substance Abuse and Behavioral Disorder Counselors|Addiction Counselor|x
1227|21-1011|Substance Abuse and Behavioral Disorder Counselors|Addiction Therapist|
1228|21-1011|Substance Abuse and Behavioral Disorder Counselors|Alcohol and Drug Counselor|x
1229|21-1011|Substance Abuse and Behavioral Disorder Counselors|Certified Abuse and Drug Addiction Counselor|
1230|21-1011|Substance Abuse and Behavioral Disorder Counselors|Certified Alcohol and Drug Counselor|
1231|21-1011|Substance Abuse and Behavioral Disorder Counselors|Chemical Dependency Counselor|x
1232|21-1011|Substance Abuse and Behavioral Disorder Counselors|Drug Abuse Counselor|
1233|21-1011|Substance Abuse and Behavioral Disorder Counselors|Drug Counselor|
1234|21-1011|Substance Abuse and Behavioral Disorder Counselors|Substance Abuse Counselor|
1235|21-1012|Educational, Guidance, and Career Counselors and Advisors|Admissions Counselor|x
1236|21-1012|Educational, Guidance, and Career Counselors and Advisors|Career Counselor|x
1237|21-1012|Educational, Guidance, and Career Counselors and Advisors|Career Technical Counselor|
1238|21-1012|Educational, Guidance, and Career Counselors and Advisors|Education Counselor|
1239|21-1012|Educational, Guidance, and Career Counselors and Advisors|Guidance Counselor|x
1240|21-1012|Educational, Guidance, and Career Counselors and Advisors|International Student Counselor|
1241|21-1012|Educational, Guidance, and Career Counselors and Advisors|School Adjustment Counselor|
1242|21-1012|Educational, Guidance, and Career Counselors and Advisors|School Guidance Counselor|
1243|21-1012|Educational, Guidance, and Career Counselors and Advisors|Student Advisor|
1244|21-1012|Educational, Guidance, and Career Counselors and Advisors|Student Development Advisor|
1245|21-1012|Educational, Guidance, and Career Counselors and Advisors|Student Services Counselor|x
1246|21-1012|Educational, Guidance, and Career Counselors and Advisors|Student Success Counselor|
1247|21-1012|Educational, Guidance, and Career Counselors and Advisors|Study Abroad Advisor|
1248|21-1012|Educational, Guidance, and Career Counselors and Advisors|Vocational Adviser|
1249|21-1013|Marriage and Family Therapists|Child and Family Counselor|x
1250|21-1013|Marriage and Family Therapists|Couples Therapist|x
1251|21-1013|Marriage and Family Therapists|Family Counselor|
1252|21-1013|Marriage and Family Therapists|Family Therapist|
1253|21-1013|Marriage and Family Therapists|Marriage Counselor|x
1254|21-1013|Marriage and Family Therapists|Marriage Therapist|
1255|21-1013|Marriage and Family Therapists|Relationship Counselor|
1256|21-1014|Mental Health Counselors|Clinical Mental Health Counselor|
1257|21-1014|Mental Health Counselors|Licensed Clinical Mental Health Counselor|
1258|21-1014|Mental Health Counselors|Licensed Clinical Mental Health Counselor (LCMHC)|x
1259|21-1014|Mental Health Counselors|Licensed Mental Health Counselor|
1260|21-1014|Mental Health Counselors|Licensed Mental Health Counselor (LMHC)|x
1261|21-1015|Rehabilitation Counselors|Certified Rehabilitation Counselor|
1262|21-1015|Rehabilitation Counselors|Coordinator of Rehabilitation Services|
1263|21-1015|Rehabilitation Counselors|Psychosocial Rehabilitation Counselor|x
1264|21-1015|Rehabilitation Counselors|Veterans Rehabilitation Counselor|x
1265|21-1015|Rehabilitation Counselors|Vocational Rehabilitation Counselor|
1266|21-1015|Rehabilitation Counselors|Vocational Rehabilitation Job Coach|x
1267|21-1019|Counselors, All Other|AIDS Counselor|
1268|21-1019|Counselors, All Other|Anger Control Counselor|x
1269|21-1019|Counselors, All Other|Grief Counselor|x
1270|21-1019|Counselors, All Other|HIV Counselor|
1271|21-1019|Counselors, All Other|Sexual Assault Counselor|x
1272|21-1021|Child, Family, and School Social Workers|C-CYFSW|
1273|21-1021|Child, Family, and School Social Workers|Certified Children, Youth, and Family Social Worker|x
1274|21-1021|Child, Family, and School Social Workers|Child Abuse Worker|x
1275|21-1021|Child, Family, and School Social Workers|Child and Family Services Worker|
1276|21-1021|Child, Family, and School Social Workers|Child Protective Services Social Worker|
1277|21-1021|Child, Family, and School Social Workers|Child Protective Services Specialist|
1278|21-1021|Child, Family, and School Social Workers|Child Welfare Social Worker|
1279|21-1021|Child, Family, and School Social Workers|Child Welfare Worker|
1280|21-1021|Child, Family, and School Social Workers|Family Preservation Caseworker|
1281|21-1021|Child, Family, and School Social Workers|Family Preservation Worker|
1282|21-1021|Child, Family, and School Social Workers|Family Service Caseworker|
1283|21-1021|Child, Family, and School Social Workers|Foster Care Social Worker|
1284|21-1021|Child, Family, and School Social Workers|Foster Care Worker|x
1285|21-1021|Child, Family, and School Social Workers|School Social Worker|
1286|21-1022|Healthcare Social Workers|AIDS Social Worker|
1287|21-1022|Healthcare Social Workers|Certified Social Workers In Health Care|
1288|21-1022|Healthcare Social Workers|C-SWHC|
1289|21-1022|Healthcare Social Workers|Hospice Home Care Social Worker|
1290|21-1022|Healthcare Social Workers|Hospice Social Worker|x
1291|21-1022|Healthcare Social Workers|Hospital Social Worker|
1292|21-1022|Healthcare Social Workers|Medical Social Worker|
1293|21-1022|Healthcare Social Workers|Neonatal Social Worker|
1294|21-1022|Healthcare Social Workers|Nephrology Social Worker|
1295|21-1022|Healthcare Social Workers|Oncology Social Worker|x
1296|21-1022|Healthcare Social Workers|Pediatric Social Worker|
1297|21-1022|Healthcare Social Workers|Public Health Social Worker|x
1298|21-1022|Healthcare Social Workers|Renal Social Worker|
1299|21-1023|Mental Health and Substance Abuse Social Workers|Community Mental Health Social Worker|x
1300|21-1023|Mental Health and Substance Abuse Social Workers|Drug Abuse Social Worker|x
1301|21-1023|Mental Health and Substance Abuse Social Workers|Psychiatric Social Worker|x
1302|21-1023|Mental Health and Substance Abuse Social Workers|Psychotherapist Social Worker|
1303|21-1029|Social Workers, All Other|Adult Protective Service Social Worker|x
1304|21-1029|Social Workers, All Other|Criminal Justice Social Worker|x
1305|21-1029|Social Workers, All Other|Forensic Social Worker|x
1306|21-1029|Social Workers, All Other|Sexual Assault Social Worker|x
1307|21-1091|Health Education Specialists|Certified Diabetes Educator|
1308|21-1091|Health Education Specialists|Certified Health Education Specialist|
1309|21-1091|Health Education Specialists|Community Health Education Coordinator|x
1310|21-1091|Health Education Specialists|Diabetes Educator|x
1311|21-1091|Health Education Specialists|Health Educator|
1312|21-1091|Health Education Specialists|Public Health Educator|x
1313|21-1092|Probation Officers and Correctional Treatment Specialists|Correctional Treatment Specialist|
1314|21-1092|Probation Officers and Correctional Treatment Specialists|Juvenile Probation Officer|x
1315|21-1092|Probation Officers and Correctional Treatment Specialists|Parole Agent|x
1316|21-1092|Probation Officers and Correctional Treatment Specialists|Parole Officer|x
1317|21-1092|Probation Officers and Correctional Treatment Specialists|Probation Officer|
1318|21-1093|Social and Human Service Assistants|Addictions Counselor Assistant|
1319|21-1093|Social and Human Service Assistants|Case Work Aide|x
1320|21-1093|Social and Human Service Assistants|Clinical Social Work Aide|
1321|21-1093|Social and Human Service Assistants|Family Service Assistant|x
1322|21-1093|Social and Human Service Assistants|Human Services Worker|x
1323|21-1093|Social and Human Service Assistants|Social Work Assistant|
1324|21-1094|Community Health Workers|CHW|
1325|21-1094|Community Health Workers|Community Health Advisor|
1326|21-1094|Community Health Workers|Community Health Representative|
1327|21-1094|Community Health Workers|Lay Health Advocate|x
1328|21-1094|Community Health Workers|Peer Health Promoter|x
1329|21-1094|Community Health Workers|Promotor(a)|x
1330|21-1099|Community and Social Service Specialists, All Other|Community Organization Worker|x
1331|21-1099|Community and Social Service Specialists, All Other|Veterans Service Officer|x
1332|21-2011|Clergy|Cantor|
1333|21-2011|Clergy|Children's Pastor|
1334|21-2011|Clergy|College Chaplain|
1335|21-2011|Clergy|Hebrew Cantor|
1336|21-2011|Clergy|Hospital Chaplain|
1337|21-2011|Clergy|Imam|x
1338|21-2011|Clergy|Minister|
1339|21-2011|Clergy|Parish Priest|
1340|21-2011|Clergy|Pastor|
1341|21-2011|Clergy|Priest|x
1342|21-2011|Clergy|Rabbi|x
1343|21-2011|Clergy|Reverend|
1344|21-2011|Clergy|Vicar|
1345|21-2011|Clergy|Youth Pastor|
1346|21-2021|Directors, Religious Activities and Education|Campus Ministry Director|
1347|21-2021|Directors, Religious Activities and Education|Christian Education Minister|
1348|21-2021|Directors, Religious Activities and Education|Education Minister|
1349|21-2021|Directors, Religious Activities and Education|Parish Religious Education Director|
1350|21-2021|Directors, Religious Activities and Education|Religious Activities Director|
1351|21-2021|Directors, Religious Activities and Education|Religious Education Coordinator|
1352|21-2021|Directors, Religious Activities and Education|Religious Education Director|x
1353|21-2021|Directors, Religious Activities and Education|Student Ministries Director|
1354|21-2021|Directors, Religious Activities and Education|Youth Ministry Director|x
1355|21-2099|Religious Workers, All Other|Buddhist Monk|
1356|21-2099|Religious Workers, All Other|Christian Science Nurse|
1357|21-2099|Religious Workers, All Other|Missionary|x
1358|21-2099|Religious Workers, All Other|Mohel|x
1359|21-2099|Religious Workers, All Other|Nun|
1360|21-2099|Religious Workers, All Other|Pastoral Worker|
1361|21-2099|Religious Workers, All Other|Prior|
1362|21-2099|Religious Workers, All Other|Sacristan|
1363|21-2099|Religious Workers, All Other|Sunday School Missionary|
1364|21-2099|Religious Workers, All Other|Traveling Missionary|
1365|21-2099|Religious Workers, All Other|Verger|x
1366|23-1011|Lawyers|Agency Legal Counsel|
1367|23-1011|Lawyers|Assistant Attorney General|
1368|23-1011|Lawyers|Assistant Corporation Counsel|
1369|23-1011|Lawyers|Assistant Counsel|
1370|23-1011|Lawyers|Associate Attorney|
1371|23-1011|Lawyers|Attorney|x
1372|23-1011|Lawyers|Attorney At Law|
1373|23-1011|Lawyers|Attorney General|
1374|23-1011|Lawyers|Brief Writer|
1375|23-1011|Lawyers|City Attorney|
1376|23-1011|Lawyers|Civil Lawyer|
1377|23-1011|Lawyers|Commonwealth Attorney|
1378|23-1011|Lawyers|Corporate Attorney|
1379|23-1011|Lawyers|Corporate Counsel|x
1380|23-1011|Lawyers|Corporate Counselor|
1381|23-1011|Lawyers|County Attorney|
1382|23-1011|Lawyers|Defense Attorney|
1383|23-1011|Lawyers|Deputy Attorney General|
1384|23-1011|Lawyers|Deputy Chief Counsel|
1385|23-1011|Lawyers|District Attorney|
1386|23-1011|Lawyers|Environmental Attorney|
1387|23-1011|Lawyers|Estate Conservator|
1388|23-1011|Lawyers|General Counsel|
1389|23-1011|Lawyers|Insurance Attorney|
1390|23-1011|Lawyers|Legal Counsel|
1391|23-1011|Lawyers|Probate Lawyer|
1392|23-1011|Lawyers|Prosecutor|
1393|23-1011|Lawyers|Public Defender|x
1394|23-1011|Lawyers|Real Estate Attorney|
1395|23-1011|Lawyers|Sports Attorney|
1396|23-1011|Lawyers|Tax Attorney|
1397|23-1011|Lawyers|Trial Attorney|
1398|23-1011|Lawyers|Trial Lawyer|
1399|23-1012|Judicial Law Clerks|Judicial Clerk|x
1400|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Appeals Examiner|x
1401|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Appeals Referee|
1402|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Appellate Conferee|
1403|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Hearing Examiner|
1404|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Hearing Officer|
1405|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Justice of The Peace|x
1406|23-1021|Administrative Law Judges, Adjudicators, and Hearing Officers|Traffic Court Referee|x
1407|23-1022|Arbitrators, Mediators, and Conciliators|Alternative Dispute Resolution Coordinator|x
1408|23-1022|Arbitrators, Mediators, and Conciliators|Mediation Commissioner|x
1409|23-1022|Arbitrators, Mediators, and Conciliators|Ombudsman|x
1410|23-1023|Judges, Magistrate Judges, and Magistrates|Administrative Court Justice|
1411|23-1023|Judges, Magistrate Judges, and Magistrates|Circuit Court Judge|x
1412|23-1023|Judges, Magistrate Judges, and Magistrates|County Court Judge|
1413|23-1023|Judges, Magistrate Judges, and Magistrates|Criminal Court Judge|
1414|23-1023|Judges, Magistrate Judges, and Magistrates|District Court Judge|
1415|23-1023|Judges, Magistrate Judges, and Magistrates|Jurist|
1416|23-1023|Judges, Magistrate Judges, and Magistrates|Justice|x
1417|23-1023|Judges, Magistrate Judges, and Magistrates|Probate Judge|
1418|23-1023|Judges, Magistrate Judges, and Magistrates|Trial Court Judge|
1419|23-1023|Judges, Magistrate Judges, and Magistrates|Tribal Judge|x
1420|23-2011|Paralegals and Legal Assistants|Assistant Paralegal|
1421|23-2011|Paralegals and Legal Assistants|Legal Aide|x
1422|23-2011|Paralegals and Legal Assistants|Legal Assistant|
1423|23-2011|Paralegals and Legal Assistants|Paralegal|
1424|23-2011|Paralegals and Legal Assistants|Summer Associate|
1425|23-2093|Title Examiners, Abstractors, and Searchers|Abstract Searcher|
1426|23-2093|Title Examiners, Abstractors, and Searchers|Abstract Writer|
1427|23-2093|Title Examiners, Abstractors, and Searchers|Advisory Title Officer|
1428|23-2093|Title Examiners, Abstractors, and Searchers|Escrow Officer|x
